weight,2nd,fc
0.74761826,2107,237
0.74761826,2108,237
0.74761826,2109,237
0.74761826,2110,237
0.74761826,2111,237
0.74761826,2112,237
0.74761826,2113,237
0.74761826,2114,237
0.74761826,2115,237
0.74761826,2116,237
0.74761826,2117,237
0.74761826,2118,237
0.74761826,2119,237
0.74761826,2120,237
0.74761826,2121,237
0.74761826,2122,237
0.74761826,2123,237
0.74761826,2124,237
0.74761826,2125,237
0.74761826,2126,237
0.74761826,2127,237
0.74761826,2128,237
0.74761826,2129,237
0.74761826,2130,237
0.74761826,2131,237
0.74761826,2132,237
0.74761826,2133,237
0.74761826,2134,237
0.74761826,2135,237
0.74761826,2136,237
0.74761826,2137,237
0.74761826,2138,237
0.74761826,2139,237
0.74761826,2140,237
0.74761826,2141,237
0.74761826,2142,237
0.74761826,2143,237
0.74761826,2144,237
0.74761826,2145,237
0.74761826,2146,237
0.74761826,2147,237
0.74761826,2148,237
0.74761826,2149,237
0.74761826,2150,237
0.74761826,2151,237
0.74761826,2152,237
0.74761826,2153,237
0.74761826,2154,237
0.74761826,2155,237
1.0,2058,242
1.0,2059,242
1.0,2060,242
1.0,2061,242
1.0,2062,242
1.0,2063,242
1.0,2064,242
1.0,2065,242
1.0,2066,242
1.0,2067,242
1.0,2068,242
1.0,2069,242
1.0,2070,242
1.0,2071,242
1.0,2072,242
1.0,2073,242
1.0,2074,242
1.0,2075,242
1.0,2076,242
1.0,2077,242
1.0,2078,242
1.0,2079,242
1.0,2080,242
1.0,2081,242
1.0,2082,242
1.0,2083,242
1.0,2084,242
1.0,2085,242
1.0,2086,242
1.0,2087,242
1.0,2088,242
1.0,2089,242
1.0,2090,242
1.0,2091,242
1.0,2092,242
1.0,2093,242
1.0,2094,242
1.0,2095,242
1.0,2096,242
1.0,2097,242
1.0,2098,242
1.0,2099,242
1.0,2100,242
1.0,2101,242
1.0,2102,242
1.0,2103,242
1.0,2104,242
1.0,2105,242
1.0,2106,242
0.8299884,2401,291
0.8299884,2402,291
0.8299884,2403,291
0.8299884,2404,291
0.8299884,2405,291
0.8299884,2406,291
0.8299884,2407,291
0.8299884,2408,291
0.8299884,2409,291
0.8299884,2410,291
0.8299884,2411,291
0.8299884,2412,291
0.8299884,2413,291
0.8299884,2414,291
0.8299884,2415,291
0.8299884,2416,291
0.8299884,2417,291
0.8299884,2418,291
0.8299884,2419,291
0.8299884,2420,291
0.8299884,2421,291
0.8299884,2422,291
0.8299884,2423,291
0.8299884,2424,291
0.8299884,2425,291
0.8299884,2426,291
0.8299884,2427,291
0.8299884,2428,291
0.8299884,2429,291
0.8299884,2430,291
0.8299884,2431,291
0.8299884,2432,291
0.8299884,2433,291
0.8299884,2434,291
0.8299884,2435,291
0.8299884,2436,291
0.8299884,2437,291
0.8299884,2438,291
0.8299884,2439,291
0.8299884,2440,291
0.8299884,2441,291
0.8299884,2442,291
0.8299884,2443,291
0.8299884,2444,291
0.8299884,2445,291
0.8299884,2446,291
0.8299884,2447,291
0.8299884,2448,291
0.8299884,2449,291
0.70723003,1960,322
0.70723003,1961,322
0.70723003,1962,322
0.70723003,1963,322
0.70723003,1964,322
0.70723003,1965,322
0.70723003,1966,322
0.70723003,1967,322
0.70723003,1968,322
0.70723003,1969,322
0.70723003,1970,322
0.70723003,1971,322
0.70723003,1972,322
0.70723003,1973,322
0.70723003,1974,322
0.70723003,1975,322
0.70723003,1976,322
0.70723003,1977,322
0.70723003,1978,322
0.70723003,1979,322
0.70723003,1980,322
0.70723003,1981,322
0.70723003,1982,322
0.70723003,1983,322
0.70723003,1984,322
0.70723003,1985,322
0.70723003,1986,322
0.70723003,1987,322
0.70723003,1988,322
0.70723003,1989,322
0.70723003,1990,322
0.70723003,1991,322
0.70723003,1992,322
0.70723003,1993,322
0.70723003,1994,322
0.70723003,1995,322
0.70723003,1996,322
0.70723003,1997,322
0.70723003,1998,322
0.70723003,1999,322
0.70723003,2000,322
0.70723003,2001,322
0.70723003,2002,322
0.70723003,2003,322
0.70723003,2004,322
0.70723003,2005,322
0.70723003,2006,322
0.70723003,2007,322
0.70723003,2008,322
0.8288163,2156,337
0.8288163,2157,337
0.8288163,2158,337
0.8288163,2159,337
0.8288163,2160,337
0.8288163,2161,337
0.8288163,2162,337
0.8288163,2163,337
0.8288163,2164,337
0.8288163,2165,337
0.8288163,2166,337
0.8288163,2167,337
0.8288163,2168,337
0.8288163,2169,337
0.8288163,2170,337
0.8288163,2171,337
0.8288163,2172,337
0.8288163,2173,337
0.8288163,2174,337
0.8288163,2175,337
0.8288163,2176,337
0.8288163,2177,337
0.8288163,2178,337
0.8288163,2179,337
0.8288163,2180,337
0.8288163,2181,337
0.8288163,2182,337
0.8288163,2183,337
0.8288163,2184,337
0.8288163,2185,337
0.8288163,2186,337
0.8288163,2187,337
0.8288163,2188,337
0.8288163,2189,337
0.8288163,2190,337
0.8288163,2191,337
0.8288163,2192,337
0.8288163,2193,337
0.8288163,2194,337
0.8288163,2195,337
0.8288163,2196,337
0.8288163,2197,337
0.8288163,2198,337
0.8288163,2199,337
0.8288163,2200,337
0.8288163,2201,337
0.8288163,2202,337
0.8288163,2203,337
0.8288163,2204,337
0.80715066,2107,697
0.80715066,2108,697
0.80715066,2109,697
0.80715066,2110,697
0.80715066,2111,697
0.80715066,2112,697
0.80715066,2113,697
0.80715066,2114,697
0.80715066,2115,697
0.80715066,2116,697
0.80715066,2117,697
0.80715066,2118,697
0.80715066,2119,697
0.80715066,2120,697
0.80715066,2121,697
0.80715066,2122,697
0.80715066,2123,697
0.80715066,2124,697
0.80715066,2125,697
0.80715066,2126,697
0.80715066,2127,697
0.80715066,2128,697
0.80715066,2129,697
0.80715066,2130,697
0.80715066,2131,697
0.80715066,2132,697
0.80715066,2133,697
0.80715066,2134,697
0.80715066,2135,697
0.80715066,2136,697
0.80715066,2137,697
0.80715066,2138,697
0.80715066,2139,697
0.80715066,2140,697
0.80715066,2141,697
0.80715066,2142,697
0.80715066,2143,697
0.80715066,2144,697
0.80715066,2145,697
0.80715066,2146,697
0.80715066,2147,697
0.80715066,2148,697
0.80715066,2149,697
0.80715066,2150,697
0.80715066,2151,697
0.80715066,2152,697
0.80715066,2153,697
0.80715066,2154,697
0.80715066,2155,697
0.72243917,2107,733
0.72243917,2108,733
0.72243917,2109,733
0.72243917,2110,733
0.72243917,2111,733
0.72243917,2112,733
0.72243917,2113,733
0.72243917,2114,733
0.72243917,2115,733
0.72243917,2116,733
0.72243917,2117,733
0.72243917,2118,733
0.72243917,2119,733
0.72243917,2120,733
0.72243917,2121,733
0.72243917,2122,733
0.72243917,2123,733
0.72243917,2124,733
0.72243917,2125,733
0.72243917,2126,733
0.72243917,2127,733
0.72243917,2128,733
0.72243917,2129,733
0.72243917,2130,733
0.72243917,2131,733
0.72243917,2132,733
0.72243917,2133,733
0.72243917,2134,733
0.72243917,2135,733
0.72243917,2136,733
0.72243917,2137,733
0.72243917,2138,733
0.72243917,2139,733
0.72243917,2140,733
0.72243917,2141,733
0.72243917,2142,733
0.72243917,2143,733
0.72243917,2144,733
0.72243917,2145,733
0.72243917,2146,733
0.72243917,2147,733
0.72243917,2148,733
0.72243917,2149,733
0.72243917,2150,733
0.72243917,2151,733
0.72243917,2152,733
0.72243917,2153,733
0.72243917,2154,733
0.72243917,2155,733
0.7073988,2254,913
0.7073988,2255,913
0.7073988,2256,913
0.7073988,2257,913
0.7073988,2258,913
0.7073988,2259,913
0.7073988,2260,913
0.7073988,2261,913
0.7073988,2262,913
0.7073988,2263,913
0.7073988,2264,913
0.7073988,2265,913
0.7073988,2266,913
0.7073988,2267,913
0.7073988,2268,913
0.7073988,2269,913
0.7073988,2270,913
0.7073988,2271,913
0.7073988,2272,913
0.7073988,2273,913
0.7073988,2274,913
0.7073988,2275,913
0.7073988,2276,913
0.7073988,2277,913
0.7073988,2278,913
0.7073988,2279,913
0.7073988,2280,913
0.7073988,2281,913
0.7073988,2282,913
0.7073988,2283,913
0.7073988,2284,913
0.7073988,2285,913
0.7073988,2286,913
0.7073988,2287,913
0.7073988,2288,913
0.7073988,2289,913
0.7073988,2290,913
0.7073988,2291,913
0.7073988,2292,913
0.7073988,2293,913
0.7073988,2294,913
0.7073988,2295,913
0.7073988,2296,913
0.7073988,2297,913
0.7073988,2298,913
0.7073988,2299,913
0.7073988,2300,913
0.7073988,2301,913
0.7073988,2302,913
